,Topics,Description,Links
0,Awesome Lists,An awesome list is a list of awesome things curated by the community.,https://github.com/topics/awesome
1,Chrome,Chrome is a web browser from the tech company Google.,https://github.com/topics/chrome
2,Code quality,"Automate your code review with style, quality, security, and testâ€‘coverage checks when you need them.",https://github.com/topics/code-quality
3,Compiler,Compilers are software that translate higher-level programming languages to lower-level languages (e.g. machine code).,https://github.com/topics/compiler
4,CSS,Cascading Style Sheets (CSS) is a language used most often to style and improve upon the appearance of views.,https://github.com/topics/css
5,Database,"A database is a structured set of data held in a computer, usually a server.",https://github.com/topics/database
6,Front end,Front end is the programming and layout that people see and interact with.,https://github.com/topics/frontend
7,JavaScript,JavaScript (JS) is a lightweight interpreted programming language with first-class functions.,https://github.com/topics/javascript
8,Node.js,Node.js is a tool for executing JavaScript in a variety of environments.,https://github.com/topics/nodejs
9,npm,npm is a package manager for JavaScript included with Node.js.,https://github.com/topics/npm
10,Project management,Project management is about building scope and executing on the project's goals.,https://github.com/topics/project-management
11,Python,Python is a dynamically typed programming language.,https://github.com/topics/python
12,React,React is an open source JavaScript library used for designing user interfaces.,https://github.com/topics/react
13,React Native,React Native is a JavaScript mobile framework developed by Facebook.,https://github.com/topics/react-native
14,Scala,Scala is an object-oriented programming language.,https://github.com/topics/scala
15,TypeScript,TypeScript is a typed superset of JavaScript that compiles to plain JavaScript.,https://github.com/topics/typescript
