,13179 5 BLACK MOUNTAIN RD SUITE 110,Address_norm,County
0,1518 24 THOMAS AVE,1518 24 thomas ave,
1,1640 206 CAMINO DEL RIO NORTH SUITE #107,1640 206 camino del rio north suite #107,
2,6161 6161 SUITE 162,6161 6161 suite 162,
3,#1088 11160 RANCHO CARMEL DR SUITE 106,#1088 11160 rancho carmel dr suite 106,
4,2 1/2 S 28TH ST,2 1/2 s 28th st,
5,143 1/2 W SAN YSIDRO BLVD,143 1/2 w san ysidro blvd,
6,146 1/2 S 28TH ST,146 1/2 s 28th st,
7,241 1/2 COTTONWOOD RD,241 1/2 cottonwood rd,
8,311 1/2 ROSECRANS ST,311 1/2 rosecrans st,
9,408 1/2 47TH ST,408 1/2 47th st,
10,562 1/2 61ST ST,562 1/2 61st st,
11,619 1/2 W FIR ST,619 1/2 w fir st,
12,619 1/2 W FIR ST,619 1/2 w fir st,
13,628 1/2 E SAN YSIDRO BLVD SUITE 905,628 1/2 e san ysidro blvd suite 905,
14,640 1/2 E SAN YSIDRO BLVD,640 1/2 e san ysidro blvd,
15,660 1/2 E SAN YSIDRO BLVD,660 1/2 e san ysidro blvd,
16,711 1/2 OLIVER AVE SUITE 4D,711 1/2 oliver ave suite 4d,
17,711 1/2 OLIVER AVE SUITE 5,711 1/2 oliver ave suite 5,
18,712 1/2 GARNET AVE,712 1/2 garnet ave,
19,724 1/2 SANTA RITA PL,724 1/2 santa rita pl,
20,725 1/2 SANTA BARBARA PL,725 1/2 santa barbara pl,
21,747 1/2 SAN FERNANDO PL,747 1/2 san fernando pl,
22,970 1/2 TOURMALINE ST,970 1/2 tourmaline st,
23,975 1/2 DIAMOND ST,975 1/2 diamond st,
24,975 1/2 NW HORNBLEND ST SUITE A2,975 1/2 nw hornblend st suite a2,
25,1157 1/2 CUSHMAN AVE,1157 1/2 cushman ave,
26,1159 1/2 CUSHMAN AVE,1159 1/2 cushman ave,
27,1236 1/2 LINCOLN AVE,1236 1/2 lincoln ave,
28,1245 1/2 LINCOLN AVE,1245 1/2 lincoln ave,
29,1424 1/2 HORNBLEND ST,1424 1/2 hornblend st,
30,1528 1/2 PACIFIC BEACH DR,1528 1/2 pacific beach dr,
31,1563 1/2 OLIVER AVE,1563 1/2 oliver ave,
32,1615 1/2 W LEWIS ST,1615 1/2 w lewis st,
33,1681 1/2 LOS ALTOS RD,1681 1/2 los altos rd,
34,1729 1/2 MYRTLE AVE,1729 1/2 myrtle ave,
35,1742 1/2 INDIA ST,1742 1/2 india st,
36,1832 1/2 MISSOURI ST,1832 1/2 missouri st,
37,1936 1/2 THOMAS AVE,1936 1/2 thomas ave,
38,1944 1/2 HORNBLEND ST,1944 1/2 hornblend st,
39,2030 1/2 KEARNY AVE SUITE 5,2030 1/2 kearny ave suite 5,
40,2065 1/2 OLIVER AVE,2065 1/2 oliver ave,
41,2084 1/2 NATIONAL AVE,2084 1/2 national ave,
42,2306 1/2 UNION ST,2306 1/2 union st,
43,2310 1/2 CHATSWORTH BLVD,2310 1/2 chatsworth blvd,
44,2326 1/2 JULIAN AVE,2326 1/2 julian ave,
45,2328 1/2 30TH ST,2328 1/2 30th st,
46,2345 1/2 N MICHAEL FARADAY N DR SUITE 5,2345 1/2 n michael faraday n dr suite 5,
47,2347 1/2 ULRIC ST,2347 1/2 ulric st,
48,2361 1/2 ETIWANDA ST,2361 1/2 etiwanda st,
49,2426 1/2 SEASIDE ST,2426 1/2 seaside st,
50,2428 1/2 INDIA ST,2428 1/2 india st,
51,2525 1/2 BACON ST,2525 1/2 bacon st,
52,2527 1/2 UNIVERSITY AVE,2527 1/2 university ave,
53,2567 1/2 L ST,2567 1/2 l st,
54,2619 1/2 WORDEN ST,2619 1/2 worden st,
55,2641 1/2 WORDEN ST,2641 1/2 worden st,
56,2641 1/2 WORDEN ST,2641 1/2 worden st,
57,2655 1/2 BROADWAY,2655 1/2 broadway,
58,2830 1/2 NYE ST,2830 1/2 nye st,
59,2873 1/2 ADAMS AVE SUITE B,2873 1/2 adams ave suite b,
60,2919 1/2 HAVASUPAI AVE,2919 1/2 havasupai ave,
61,2963 1/2 IMPERIAL AVE,2963 1/2 imperial ave,
62,2975 1/2 CLAIREMONT DR,2975 1/2 clairemont dr,
63,3015 1/2 NATIONAL AVE,3015 1/2 national ave,
64,3050 1/2 CLAIREMONT DR,3050 1/2 clairemont dr,
65,3054 1/2 CLAIREMONT DR,3054 1/2 clairemont dr,
66,3058 1/2 K ST,3058 1/2 k st,
67,3063 1/2 LOGAN AVE,3063 1/2 logan ave,
68,3138 1/2 INGELOW ST,3138 1/2 ingelow st,
69,3150 1/2 LOGAN AVE,3150 1/2 logan ave,
70,3162 1/2 MAIN ST,3162 1/2 main st,
71,3164 1/2 JUNIPER ST,3164 1/2 juniper st,
72,3211 1/2 FELTON ST,3211 1/2 felton st,
73,3222 1/2 OCEAN VIEW BLVD,3222 1/2 ocean view blvd,
74,3258 1/2 ROSECRANS ST,3258 1/2 rosecrans st,
75,3258 1/2 ROSECRANS ST,3258 1/2 rosecrans st,
76,3264 1/2 ROSECRANS ST,3264 1/2 rosecrans st,
77,3282 1/2 IMPERIAL AVE,3282 1/2 imperial ave,
78,3321 1/2 52ND ST,3321 1/2 52nd st,
79,3360 1/2 30TH ST,3360 1/2 30th st,
80,3420 1/2 CHAMOUNE AVE,3420 1/2 chamoune ave,
81,3420 1/2 CHAMOUNE AVE,3420 1/2 chamoune ave,
82,3446 1/2 29TH ST,3446 1/2 29th st,
83,3446 1/2 29TH ST,3446 1/2 29th st,
84,3528 1/2 BARNETT AVE,3528 1/2 barnett ave,
85,3528 1/2 MEADE AVE SUITE 56,3528 1/2 meade ave suite 56,
86,3571 1/2 41ST ST,3571 1/2 41st st,
87,3604 1/2 S BEYER SE BLVD SUITE 204-9,3604 1/2 s beyer se blvd suite 204-9,
88,3638 1/2 VAN DYKE AVE,3638 1/2 van dyke ave,
89,3698 1/2 MAIN ST,3698 1/2 main st,
90,3716 1/2 MAIN ST,3716 1/2 main st,
91,3724 1/2 40TH ST,3724 1/2 40th st,
92,3724 1/2 MAIN ST,3724 1/2 main st,
93,3748 1/2 CURTIS ST,3748 1/2 curtis st,
94,3754 1/2 36TH ST,3754 1/2 36th st,
95,3820 1/2 GOLDFINCH ST,3820 1/2 goldfinch st,
96,3854 1/2 36TH ST,3854 1/2 36th st,
97,3878 1/2 RIVIERA DR,3878 1/2 riviera dr,
